model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;Canadian Lynx;2;773734,3388828897;879,6217021441033;393,9593878376174;153,78061385037307;27,41;0,1016476154327392;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;7;722638,3932610301;850,0814039026087;456,3686365601866;135,98420955474134;27,85;0,1189544200897216;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;4;666938,4625145787;816,6630042524142;387,2193930350092;184,79042521871835;30,02;0,1144549846649169;{'C': 1255555, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;17;712667,7244524601;844,1964963516847;486,7967831704837;98,40505155340033;30,05;0,1187796592712402;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}
SVR;Canadian Lynx;11;603128,2958489135;776,6133502901644;416,00742960221305;136,26370732368096;30,32;0,1051163673400878;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;1;1111000,6677106898;1054,0401641828882;617,8490207827884;100,98571616036422;30,49;0,1116769313812255;{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Canadian Lynx;13;560756,5037928506;748,8367671214139;485,9912053927235;141,1354275625713;31,1;0,1082415580749511;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Sunspot Numbers;22;188225,23925162805;433,8493278220309;252,4597543828109;43,49449028385935;31,74;4,442986965179443;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;14;197805,3436327553;444,7531266138051;246,5595548927049;43,43361298830719;32,05;3,994002342224121;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;8;617076,7589022398;785,5423342521012;480,0581029770128;114,75777433882824;32,66;0,1215944290161132;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}
SVR;Canadian Lynx;22;904374,0103374532;950,9858097455782;344,82534817222006;95,20732410752272;33,31;0,1184849739074707;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'}
SVR;Canadian Lynx;14;858752,0861904996;926,6887752587164;576,2353462620101;129,86437401175442;33,69;0,1164641380310058;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}
SVR;Canadian Lynx;9;794324,3034601457;891,2487326555622;417,74424924841855;200,3612227378528;33,77;0,1417138576507568;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;12;240151,55439726665;490,0526037042009;277,75754834757066;48,95938869478395;37,3;8,254847049713135;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
